UniqueID	CloneID	Accession	Symbol	Name	EntrezID
126470	126470	R06605	PTPN1	Protein tyrosine phosphatase, non-receptor type 1	5770
210687	210687	H66116	AGTR1	Angiotensin II receptor, type 1	185
321661	321661	W32943		Transcribed locus, moderately similar to XP_001344871.4 PREDICTED: serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform-like [Danio rerio]	
509731	509731	AA045698	TSPAN8	Tetraspanin 8	7103
293157	293157	N63863	PPP2R3A	Protein phosphatase 2, regulatory subunit B@#$%&@#$%&, alpha	5523
357031	357031	W93163	TNFAIP6	Tumor necrosis factor, alpha-induced protein 6	7130
132911	132911	R26434	PPP1CB	Protein phosphatase 1, catalytic subunit, beta isozyme	5500
191603	191603	H37989	TUBB	Tubulin, beta class I	203068
359184	359184	AA010079	EIF2AK2	Eukaryotic translation initiation factor 2-alpha kinase 2	5610
668007	668007	AA258735			
811012	811012	AA485523	PRKAR1B	Protein kinase, cAMP-dependent, regulatory, type I, beta	5575
768370	768370	AA495846	FOXC1	Forkhead box C1	2296
342543	342543	W68141	PRKACA	Protein kinase, cAMP-dependent, catalytic, alpha	5566
136821	136821	R36467	TGFB1	Transforming growth factor, beta 1	7040
167280	167280	R90744			
724588	724588	AA291577	IRF9	Interferon regulatory factor 9	10379
71622	71622	T57957	PRKCI	Protein kinase C, iota	5584
376290	376290	AA039370	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	7003
167032	167032	R89715	PRKCG	Protein kinase C, gamma	5582
754085	754085	AA479196	GTF2F2	General transcription factor IIF, polypeptide 2, 30kDa	2963
753923	753923	AA479102	PRKCB	Protein kinase C, beta	5579
813459	813459	AA455437	GTF2E1	General transcription factor IIE, polypeptide 1, alpha 56kDa	2960
469954	469954	AA030029	PRKCA	Protein kinase C, alpha	5578
234736	234736	H77652	GATA6	GATA binding protein 6	2627
470393	470393	AA031513	MMP7	Matrix metallopeptidase 7 (matrilysin, uterine)	4316
727192	727192	AA293819	NFATC3	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	4775
22040	22040	T72581	MMP9	Matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	4318
725680	725680	AA399334	TFAP2C	Transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	7022
196612	196612	R92994		Transcribed locus, strongly similar to NP_002417.2 macrophage metalloelastase preproprotein [Homo sapiens]	
198815	198815	H82891	TGOLN2	Trans-golgi network protein 2	10618
589115	589115	AA143201	MMP1	Matrix metallopeptidase 1 (interstitial collagenase)	4312
124138	124138	R01238			
178468	178468	H46487	MGAT3	Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	4248
46786	46786	H09906	CNP	2@#$%&,3@#$%&-cyclic nucleotide 3@#$%& phosphodiesterase	1267
212496	212496	H70017	MAN2A1	Mannosidase, alpha, class 2A, member 1	4124
180864	180864	R87840	ICAM5	Intercellular adhesion molecule 5, telencephalin	7087
82879	82879	T69359	MBL2	Mannose-binding lectin (protein C) 2, soluble	4153
756372	756372	AA481944	RARRES2	Retinoic acid receptor responder (tazarotene induced) 2	5919
667482	667482	AA227594	MAL	Mal, T-cell differentiation protein	4118
361171	361171	AA017042	KAT5	K(lysine) acetyltransferase 5	10524
147414	147414	H01340	MAP3K10	Mitogen-activated protein kinase kinase kinase 10	4294
110281	110281	T71551	STX7	Syntaxin 7	8417
240634	240634	H90219	IMPA1	Inositol(myo)-1(or 4)-monophosphatase 1	3612
346552	346552	W74377			
243549	243549	N49526	MYB	V-myb myeloblastosis viral oncogene homolog (avian)	4602
811843	811843	AA443181	SUOX	Sulfite oxidase	6821
768316	768316	AA495766	RCBTB2	Regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	1102
771220	771220	AA443546		Transcribed locus	
134544	134544	R27585	PSMA1	Proteasome (prosome, macropain) subunit, alpha type, 1	5682
163174	163174	H27379	TCEA1	Transcription elongation factor A (SII), 1	6917
529861	529861	AA070997	PSMB6	Proteasome (prosome, macropain) subunit, beta type, 6	5694
592243	592243	AA155695			
713685	713685	AA284528	PRSS1	Protease, serine, 1 (trypsin 1)	5644
246300	246300	N59426	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	7073
123561	123561	R00822			
382787	382787	AA069596	TRH	Thyrotropin-releasing hormone	7200
753211	753211	AA406362	PTGER3	Prostaglandin E receptor 3 (subtype EP3)	5733
143443	143443	R76436	TBXAS1	Thromboxane A synthase 1 (platelet)	6916
31072	31072	R17394	PCSK1	Proprotein convertase subtilisin/kexin type 1	5122
36393	36393	R25823	ACAT2	Acetyl-CoA acetyltransferase 2	39
235934	235934	H52352	CFP	Complement factor properdin	5199
742143	742143	AA406027	CD5	CD5 molecule	921
812048	812048	AA455969		Transcribed locus	
770014	770014	AA427667	YME1L1	YME1-like 1 (S. cerevisiae)	10730
245242	245242	N54494	CPB2	Carboxypeptidase B2 (plasma)	1361
812276	812276	AA455067	SNCA	Synuclein, alpha (non A4 component of amyloid precursor)	6622
143287	143287	R73909		Transcribed locus	
126858	126858	R07295	SOAT1	Sterol O-acyltransferase 1	6646
130541	130541	R22412	PECAM1	Platelet/endothelial cell adhesion molecule 1	5175
25679	25679	R36874	SRD5A1	Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	6715
40643	40643	R56211			
28469	28469	R40897	OXCT1	3-oxoacid CoA transferase 1	5019
813256	813256	AA455911	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	5243
120015	120015	T94961	STK4	Serine/threonine kinase 4	6789
44255	44255	H06113			
547247	547247	AA085318	STC1	Stanniocalcin 1	6781
591864	591864	AA158513	TAP2	Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	6891
31866	31866	R17811	SF3A3	Splicing factor 3a, subunit 3, 60kDa	10946
292475	292475	N91233	HBA2	Hemoglobin, alpha 2	3040
207920	207920	H60423	SLC17A2	Solute carrier family 17 (sodium phosphate), member 2	10246
544664	544664	AA074666			
729942	729942	AA399674	SPRR2C	Small proline-rich protein 2C (pseudogene)	6702
223483	223483	H86755			
250667	250667	H98534	RAB9A	RAB9A, member RAS oncogene family	9367
340734	340734	W55872	NFKBIA	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4792
292213	292213	N68166	GNB2	Guanine nucleotide binding protein (G protein), beta polypeptide 2	2783
687270	687270	AA234897	MEF2C	Myocyte enhancer factor 2C	4208
324210	324210	W47484	SIGMAR1	Sigma non-opioid intracellular receptor 1	10280
771323	771323	AA476240	PLOD1	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	5351
823590	823590	AA497051	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	10610
289615	289615	N77754	LAMP2	Lysosomal-associated membrane protein 2	3920
813419	813419	AA458661	HSD17B10	Hydroxysteroid (17-beta) dehydrogenase 10	3028
813823	813823	AA453712	LUM	Lumican	4060
813462	813462	AA455956	SIAH1	Siah E3 ubiquitin protein ligase 1	6477
770012	770012	AA427490	KCNH2	Potassium voltage-gated channel, subfamily H (eag-related), member 2	3757
809535	809535	AA454585	SRSF2	Serine/arginine-rich splicing factor 2	6427
121218	121218	T97181	PF4	Platelet factor 4	5196
128875	128875	R10604	ATXN2	Ataxin 2	6311
66982	66982	T67549	PLGLB2	Plasminogen-like B2	5342
359835	359835	AA011215	SAT1	Spermidine/spermine N1-acetyltransferase 1	6303
810017	810017	AA455222	PLAUR	Plasminogen activator, urokinase receptor	5329
320763	320763	W32135	SP3	Sp3 transcription factor	6670
813841	813841	AA453728	PLAT	Plasminogen activator, tissue	5327
205303	205303	H60859	SRI	Sorcin	6717
244307	244307	N75719	SERPINE1	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	5054
810873	810873	AA459197	SCNN1A	Sodium channel, non-voltage-gated 1 alpha subunit	6337
813630	813630	AA453663	PIM1	Pim-1 oncogene	5292
812227	812227	AA455369	SLC9A1	Solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1	6548
809981	809981	AA455197	GPX4	Glutathione peroxidase 4	2879
115143	115143	T86708	SLC4A1	Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	6521
204897	204897	H57180	PLCG2	Phospholipase C, gamma 2 (phosphatidylinositol-specific)	5336
190732	190732	H38650	SLC2A5	Solute carrier family 2 (facilitated glucose/fructose transporter), member 5	6518
51916	51916	H22563			
123579	123579	R00833	SLC2A2	Solute carrier family 2 (facilitated glucose transporter), member 2	6514
742082	742082	AA405769	PCK1	Phosphoenolpyruvate carboxykinase 1 (soluble)	5105
153006	153006	R49999	SLC19A1	Solute carrier family 19 (folate transporter), member 1	6573
550353	550353	AA101792	PIGF	Phosphatidylinositol glycan anchor biosynthesis, class F	5281
823886	823886	AA490477	MYH10	Myosin, heavy chain 10, non-muscle	4628
768296	768296	AA495746	MLIP	Muscular LMNA-interacting protein	90523
809892	809892	AA455145		Transcribed locus	
292306	292306	N80949	LIPC	Lipase, hepatic	3990
280666	280666	N50444	SEMA4D	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	10507
153025	153025	R50354	LIF	Leukemia inhibitory factor	3976
813533	813533	AA456109	SDCBP	Syndecan binding protein (syntenin)	6386
359747	359747	AA011057		Transcribed locus, weakly similar to NP_072104.1 lectin, galactose binding, soluble 7 [Rattus norvegicus]	
303048	303048	N91584	RPS6	Ribosomal protein S6	6194
126390	126390	R06458	LCAT	Lecithin-cholesterol acyltransferase	3931
289666	289666	N77779	MOK	MOK protein kinase	5891
122274	122274	T98783	LTBP1	Latent transforming growth factor beta binding protein 1	4052
34888	34888	R19878			
160723	160723	H24650	LAMC1	Laminin, gamma 1 (formerly LAMB2)	3915
187147	187147	R83224			
32609	32609	R43734	LAMA4	Laminin, alpha 4	3910
321529	321529	W32660	RAP2A	RAP2A, member of RAS oncogene family	5911
811900	811900	AA454646	LTBR	Lymphotoxin beta receptor (TNFR superfamily, member 3)	4055
142122	142122	R69355	AFAP1	Actin filament associated protein 1	60312
51447	51447	H20872	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	2214
197176	197176	R92806	GDI2	GDP dissociation inhibitor 2	2665
179500	179500	H51404	LIMK1	LIM domain kinase 1	3984
810331	810331	AA464152	QSOX1	Quiescin Q6 sulfhydryl oxidase 1	5768
770355	770355	AA434024	LSS	Lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	4047
210887	210887	H65676	ST13	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	6767
42558	42558	R61229	GATM	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2628
345559	345559	W73892	RBM5	RNA binding motif protein 5	10181
281465	281465	N51166	PIGB	Phosphatidylinositol glycan anchor biosynthesis, class B	9488
755054	755054	AA482637	IL18R1	Interleukin 18 receptor 1	8809
