ProbeSet	Symbol	Name	EntrezID
AD000684_cds1_at	LSR	lipolysis stimulated lipoprotein receptor	51599
AD001527_cds1_at	OVOL3	ovo-like 3 (Drosophila)	728361
AF000177_at	LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	27257
AF000231_at	RAB11A	RAB11A, member RAS oncogene family	8766
AF000234_at	P2RX4	purinergic receptor P2X, ligand-gated ion channel, 4	5025
AF000430_at	DNM1L	dynamin 1-like	10059
AF000545_at	P2RY10	purinergic receptor P2Y, G-protein coupled, 10	27334
AF000560_at	ZNF787	zinc finger protein 787	126208
AF000562_at	UPK2	uroplakin 2	7379
AF000573_rna1_at	HGD	homogentisate 1,2-dioxygenase	3081
AF000959_at	CLDN5	claudin 5	7122
AF001294_at	PHLDA2	pleckstrin homology-like domain, family A, member 2	7262
AF001620_at	MYOC	myocilin, trabecular meshwork inducible glucocorticoid response	4653
AF002020_at	NPC1	Niemann-Pick disease, type C1	4864
AF002224_at	UBE3A	ubiquitin protein ligase E3A	7337
AF002700_at	GFRA2	GDNF family receptor alpha 2	2675
AF003743_at	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1	3784
AF005037_at	SCAMP1	secretory carrier membrane protein 1	9522
AF005043_at	PARG	poly (ADP-ribose) glycohydrolase	8505
AF005361_at	KPNA5	karyopherin alpha 5 (importin alpha 6)	3841
AF005775_at	CFLAR	CASP8 and FADD-like apoptosis regulator	8837
AF005887_at	ATF6	activating transcription factor 6	22926
AF006041_at	DAXX	death-domain associated protein	1616
AF006084_at	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	10095
AF006087_at	ARPC4	actin related protein 2/3 complex, subunit 4, 20kDa	10093
AF006609_at	RGS3	regulator of G-protein signaling 3	5998
AF007111_at	MDM4	Mdm4 p53 binding protein homolog (mouse)	4194
AF007551_at	BET1	blocked early in transport 1 homolog (S. cerevisiae)	10282
AF007875_at	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	8813
AF008445_at	PLSCR1	phospholipid scramblase 1	5359
AF008937_at	STX16	syntaxin 16	8675
AF009301_at	MARCH6	membrane-associated ring finger (C3HC4) 6	10299
AF009368_at	CREB3	cAMP responsive element binding protein 3	10488
AF009426_at	C18orf1	chromosome 18 open reading frame 1	753
AF009674_at	AXIN1	axin 1	8312
AF010193_at	SMAD7	SMAD family member 7	4092
AF012270_at	RRH	retinal pigment epithelium-derived rhodopsin homolog	10692
AF014958_at	CCRL2	chemokine (C-C motif) receptor-like 2	9034
AF015910_at	AKAP1	A kinase (PRKA) anchor protein 1	8165
AF015913_at	PRMT5	protein arginine methyltransferase 5	10419
AF015950_at	TERT	telomerase reverse transcriptase	7015
AJ000480_at	TRIB1	tribbles homolog 1 (Drosophila)	10221
AJ001047_at	MATN3	matrilin 3	4148
AJ001421_at	RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	11079
AJ001487_at			
D00017_at	ANXA2	annexin A2	302
D00591_at	RCC1	regulator of chromosome condensation 1	1104
D00596_at	TYMS	thymidylate synthetase	7298
D00632_at	GPX3	glutathione peroxidase 3 (plasma)	2878
D00654_at	ACTG2	actin, gamma 2, smooth muscle, enteric	72
D00723_at	GCSH	glycine cleavage system protein H (aminomethyl carrier)	2653
D00726_at	FECH	ferrochelatase	2235
D00760_at	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	5683
D00761_at	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	5689
D00762_at	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	5684
D00763_at	PSMA4	proteasome (prosome, macropain) subunit, alpha type, 4	5685
D10202_at	PTAFR	platelet-activating factor receptor	5724
D10495_at	PRKCD	protein kinase C, delta	5580
D10511_at	ACAT1	acetyl-CoA acetyltransferase 1	38
D10522_at	MARCKS	myristoylated alanine-rich protein kinase C substrate	4082
D10523_at	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	4967
D10656_at	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	1398
D10704_at	CHKA	choline kinase alpha	1119
D10923_at	HCAR3	hydroxycarboxylic acid receptor 3	8843
D10995_at	HTR1B	5-hydroxytryptamine (serotonin) receptor 1B	3351
D11086_at	IL2RG	interleukin 2 receptor, gamma	3561
D11094_at	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	5701
D11139_at	TIMP1	TIMP metallopeptidase inhibitor 1	7076
D11151_at	EDNRA	endothelin receptor type A	1909
D11428_at	PMP22	peripheral myelin protein 22	5376
D12485_at	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	5167
D12625_at	NF1	neurofibromin 1	4763
D12676_at	SCARB2	scavenger receptor class B, member 2	950
D12686_at	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	1981
D12763_at	IL1RL1	interleukin 1 receptor-like 1	9173
D13118_at	ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)	516
D13168_at	EDNRB	endothelin receptor type B	1910
D13264_at	MSR1	macrophage scavenger receptor 1	4481
D13305_at	CCKBR	cholecystokinin B receptor	887
D13315_at	GLO1	glyoxalase I	2739
D13370_at	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	328
D13435_at	PIGF	phosphatidylinositol glycan anchor biosynthesis, class F	5281
D13540_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	5781
D13626_at	P2RY14	purinergic receptor P2Y, G-protein coupled, 14	9934
D13627_at	CCT8	chaperonin containing TCP1, subunit 8 (theta)	10694
D13628_at	ANGPT1	angiopoietin 1	284
D13630_at	BZW1	basic leucine zipper and W2 domains 1	9689
D13633_at	DLGAP5	discs, large (Drosophila) homolog-associated protein 5	9787
D13634_at	MTFR1	mitochondrial fission regulator 1	9650
D13635_at	UBE3C	ubiquitin protein ligase E3C	9690
D13636_at	GTF3C2	general transcription factor IIIC, polypeptide 2, beta 110kDa	2976
D13637_at	TLR1	toll-like receptor 1	7096
D13639_at	CCND2	cyclin D2	894
D13640_at	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent, 1F	9647
D13641_at	TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)	9804
D13642_at	SF3B3	splicing factor 3b, subunit 3, 130kDa	23450
D13643_at	DHCR24	24-dehydrocholesterol reductase	1718
D13644_at	USP6NL	USP6 N-terminal like	9712
D13645_at	KIAA0020	KIAA0020	9933
D13748_at	EIF4A1	eukaryotic translation initiation factor 4A1	1973
D13789_at	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	4248
D13897_rna2_at	PYY	peptide YY	5697
D13900_at	ECHS1	enoyl CoA hydratase, short chain, 1, mitochondrial	1892
D13969_at	PCGF2	polycomb group ring finger 2	7703
D13988_at	GDI2	GDP dissociation inhibitor 2	2665
D14043_at	CD164	CD164 molecule, sialomucin	8763
D14134_at	RAD51	RAD51 homolog (S. cerevisiae)	5888
D14446_at	FGL1	fibrinogen-like 1	2267
D14497_at	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1326
D14520_at	KLF5	Kruppel-like factor 5 (intestinal)	688
D14530_at	RPS23	ribosomal protein S23	6228
D14533_at	XPA	xeroderma pigmentosum, complementation group A	7507
D14657_at	KIAA0101	KIAA0101	9768
D14658_at			
D14659_at	TTC35	tetratricopeptide repeat domain 35	9694
D14660_at	MRPL19	mitochondrial ribosomal protein L19	9801
D14661_at	WTAP	Wilms tumor 1 associated protein	9589
D14662_at	PRDX6	peroxiredoxin 6	9588
D14663_at	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	9861
D14664_at	CD302	CD302 molecule	9936
D14678_at	KIFC1	kinesin family member C1	3833
D14686_at	AMT	aminomethyltransferase	275
D14689_at	NUP214	nucleoporin 214kDa	8021
D14694_at	PTDSS1	phosphatidylserine synthase 1	9791
D14695_at	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	9709
D14710_at	ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	498
D14811_at	MAD2L1BP	MAD2L1 binding protein	9587
D14812_at	MORF4L2	mortality factor 4 like 2	9643
D14822_at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862
D14823_at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862
D14827_at	GLI2	GLI family zinc finger 2	2736
D14838_at	FGF9	fibroblast growth factor 9 (glia-activating factor)	2254
D14874_at	ADM	adrenomedullin	133
D14878_at	CDC123	cell division cycle 123 homolog (S. cerevisiae)	8872
D14889_at	RAB33A	RAB33A, member RAS oncogene family	9363
D15049_at	PTPRH	protein tyrosine phosphatase, receptor type, H	5794
D15050_at	SIK1	salt-inducible kinase 1	150094
D15057_at	DAD1	defender against cell death 1	1603
D16181_at	PMP2	peripheral myelin protein 2	5375
D16217_at	CAST	calpastatin	831
D16227_at	HPCAL1	hippocalcin-like 1	3241
D16294_at	ACAA2	acetyl-CoA acyltransferase 2	10449
D16350_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	6296
D16469_at	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	537
D16532_at	VLDLR	very low density lipoprotein receptor	7436
D16562_at	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	509
D16581_at	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	4521
D16583_at	HDC	histidine decarboxylase	3067
D16593_at	HPCA	hippocalcin	3208
D16626_at	HAL	histidine ammonia-lyase	3034
D16815_at	NR1D2	nuclear receptor subfamily 1, group D, member 2	9975
D17357_at	INHBA	inhibin, beta A	3624
D17390_at	ADAM11	ADAM metallopeptidase domain 11	4185
D17391_at	COL4A4	collagen, type IV, alpha 4	1286
D17400_at	PTS	6-pyruvoyltetrahydropterin synthase	5805
D17461_at			
D17516_at	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	117
D17525_at	MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	5648
D17716_at	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	4249
D21063_at	MCM2	minichromosome maintenance complex component 2	4171
D21089_at	XPC	xeroderma pigmentosum, complementation group C	7508
D21090_at	RAD23B	RAD23 homolog B (S. cerevisiae)	5887
D21163_at	EFTUD2	elongation factor Tu GTP binding domain containing 2	9343
D21205_at	TRIM25	tripartite motif containing 25	7706
D21239_at	RAPGEF1	Rap guanine nucleotide exchange factor (GEF) 1	2889
D21255_at	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	1009
D21260_at	CLTC	clathrin, heavy chain (Hc)	1213
D21261_at	TAGLN2	transgelin 2	8407
D21262_at	NOLC1	nucleolar and coiled-body phosphoprotein 1	9221
D21267_at	SNAP25	synaptosomal-associated protein, 25kDa	6616
D21337_at	COL4A6	collagen, type IV, alpha 6	1288
D21851_at	LARS2	leucyl-tRNA synthetase 2, mitochondrial	23395
D21852_at	R3HDM1	R3H domain containing 1	23518
D21853_at	EIF4A3	eukaryotic translation initiation factor 4A3	9775
D21878_at	BST1	bone marrow stromal cell antigen 1	683
D23660_at	RPL4	ribosomal protein L4	6124
D23662_at	NEDD8	neural precursor cell expressed, developmentally down-regulated 8	4738
D23673_at	MPRIP	myosin phosphatase Rho interacting protein	23164
D25215_at	HERC3	hect domain and RLD 3	8916
D25216_at	LRRC14	leucine rich repeat containing 14	9684
D25217_at	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1	23209
D25218_at	RRS1	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)	23212
D25248_at	AFAP1	actin filament associated protein 1	60312
D25274_at	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	5879
D25278_at	IQCB1	IQ motif containing B1	9657
D25303_at	ITGA9	integrin, alpha 9	3680
D25328_at	PFKP	phosphofructokinase, platelet	5214
D25538_at	ADCY7	adenylate cyclase 7	113
D25539_at	KIAA0040	KIAA0040	9674
D25547_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	5110
D26018_at	POLD3	polymerase (DNA-directed), delta 3, accessory subunit	10714
D26067_at	TMEM41B	transmembrane protein 41B	440026
D26068_at	EIF4H	eukaryotic translation initiation factor 4H	7458
D26069_at	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527
D26129_at	RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	6035
D26135_at	DGKG	diacylglycerol kinase, gamma 90kDa	1608
D26308_at	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	645
D26350_at	ITPR2	inositol 1,4,5-trisphosphate receptor, type 2	3709
D26361_at	KIF14	kinesin family member 14	9928
D26362_at	BRD3	bromodomain containing 3	8019
D26443_at	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	6507
D26528_at			
D26561_cds1_at			
D26561_cds2_at			
D26561_cds3_at			
D26579_at	ADAM8	ADAM metallopeptidase domain 8	101
D26598_at	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	5691
D26599_at	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	5690
D26600_at	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	5692
D28114_at	MOBP	myelin-associated oligodendrocyte basic protein	4336
D28118_at	VEZF1	vascular endothelial zinc finger 1	7716
D28124_at	NBL1	neuroblastoma, suppression of tumorigenicity 1	4681
D28137_at	BST2	bone marrow stromal cell antigen 2	684
D28364_at	ANXA2	annexin A2	302
D28383_at	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1	515
D28416_at	ESD	esterase D	2098
D28423_at	SRSF3	serine/arginine-rich splicing factor 3	6428
D28476_at	TRIP12	thyroid hormone receptor interactor 12	9320
D28483_at	RBMS2	RNA binding motif, single stranded interacting protein 2	5939
D28532_at	SLC17A1	solute carrier family 17 (sodium phosphate), member 1	6568
D28588_at	SP2	Sp2 transcription factor	6668
D28589_at	SNHG13	small nucleolar RNA host gene 13 (non-protein coding)	57291
D28915_at	IFI44	interferon-induced protein 44	10561
D29012_at	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	5694
D29013_at	POLB	polymerase (DNA directed), beta	5423
D29641_at	SKIV2L2	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	23517
D29642_at	ARHGAP25	Rho GTPase activating protein 25	9938
D29643_at	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase	1650
D29677_at	HELZ	helicase with zinc finger	9931
D29810_at	DCBLD2	discoidin, CUB and LCCL domain containing 2	131566
D29833_at	SMR3B	submaxillary gland androgen regulated protein 3B	10879
D29954_at	NCAPD3	non-SMC condensin II complex, subunit D3	23310
D29956_at	USP8	ubiquitin specific peptidase 8	9101
D29958_at	EXOSC7	exosome component 7	23016
D29963_at	CD151	CD151 molecule (Raph blood group)	977
D30036_at	PITPNA	phosphatidylinositol transfer protein, alpha	5306
D30037_at	PITPNB	phosphatidylinositol transfer protein, beta	23760
D30655_at	EIF4A2	eukaryotic translation initiation factor 4A2	1974
D30742_at	CAMK4	calcium/calmodulin-dependent protein kinase IV	814
D30755_at	TNIP1	TNFAIP3 interacting protein 1	10318
D30756_at	NBR1	neighbor of BRCA1 gene 1	4077
D30758_at	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744
D31716_at	KLF9	Kruppel-like factor 9	687
D31762_at	TRAM2	translocation associated membrane protein 2	9697
D31763_at	ZNF33A	zinc finger protein 33A	7581
D31764_at	SNX17	sorting nexin 17	9784
D31765_at	POP1	processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)	10940
D31766_at	GNPDA1	glucosamine-6-phosphate deaminase 1	10007
D31767_at	DAZAP2	DAZ associated protein 2	9802
D31784_at	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)	1004
D31797_at	CD40LG	CD40 ligand	959
D31815_at	RGN	regucalcin (senescence marker protein-30)	9104
D31846_at	AQP2	aquaporin 2 (collecting duct)	359
D31883_at	ABLIM1	actin binding LIM protein 1	3983
D31884_at	JOSD1	Josephin domain containing 1	9929
D31885_at	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	23204
D31886_at	RAB3GAP1	RAB3 GTPase activating protein subunit 1 (catalytic)	22930
D31887_at	SLC39A14	solute carrier family 39 (zinc transporter), member 14	23516
D31888_at	RCOR1	REST corepressor 1	23186
D31890_at	KARS	lysyl-tRNA synthetase	3735
D31891_at	SETDB1	SET domain, bifurcated 1	9869
D31897_at	DOC2A	double C2-like domains, alpha	8448
D32001_at			
D32050_at	AARS	alanyl-tRNA synthetase	16
D32202_at	ADRA1A	adrenergic, alpha-1A-, receptor	148
D37931_at	RNASE4	ribonuclease, RNase A family, 4	6038
D37965_at	PDGFRL	platelet-derived growth factor receptor-like	5157
D38037_at	FKBP1B	FK506 binding protein 1B, 12.6 kDa	2281
D38047_at	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	5714
D38048_at	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	5695
D38076_at	RANBP1	RAN binding protein 1	5902
D38128_at	PTGIR	prostaglandin I2 (prostacyclin) receptor (IP)	5739
D38145_at	PTGIS	prostaglandin I2 (prostacyclin) synthase	5740
D38293_at	AP3M2	adaptor-related protein complex 3, mu 2 subunit	10947
D38305_at	TOB1	transducer of ERBB2, 1	10140
D38449_at	GPR176	G protein-coupled receptor 176	11245
D38462_at			
D38491_at			
D38500_at	PMS2P4	postmeiotic segregation increased 2 pseudogene 4	5382
D38503_at	GABRA2	gamma-aminobutyric acid (GABA) A receptor, alpha 2	2555
D38521_at	PSME4	proteasome (prosome, macropain) activator subunit 4	23198
D38522_at	SYT11	synaptotagmin XI	23208
D38524_at	NT5C2	5@#$%&-nucleotidase, cytosolic II	22978
D38535_at			
D38548_at	CUL7	cullin 7	9820
D38549_at	CYFIP1	cytoplasmic FMR1 interacting protein 1	23191
D38550_at	E2F3	E2F transcription factor 3	1871
D38551_at	RAD21	RAD21 homolog (S. pombe)	5885
D38552_at	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1	23398
D38553_at	NCAPH	non-SMC condensin I complex, subunit H	23397
D38555_at	SEC24C	SEC24 family, member C (S. cerevisiae)	9632
D38583_at	S100A11	S100 calcium binding protein A11	6282
D38751_at	KIF22	kinesin family member 22	3835
D42038_at	KIAA0087	KIAA0087	9808
D42039_at	MESDC2	mesoderm development candidate 2	23184
D42041_at	GANAB	glucosidase, alpha; neutral AB	23193
D42043_at	RFTN1	raftlin, lipid raft linker 1	23180
D42044_at	KIAA0090	KIAA0090	23065
D42045_at	DCLRE1A	DNA cross-link repair 1A	9937
D42046_at	DNA2	DNA replication helicase 2 homolog (yeast)	1763
D42047_at	GPD1L	glycerol-3-phosphate dehydrogenase 1-like	23171
D42053_at	MBTPS1	membrane-bound transcription factor peptidase, site 1	8720
D42054_at	CEP57	centrosomal protein 57kDa	9702
D42055_at	NEDD4	neural precursor cell expressed, developmentally down-regulated 4	4734
D42063_at	RANBP2	RAN binding protein 2	5903
D42072_at	NF1	neurofibromin 1	4763
D42073_at	RCN1	reticulocalbin 1, EF-hand calcium binding domain	5954
D42084_at	METAP1	methionyl aminopeptidase 1	23173
D42085_at	NUP93	nucleoporin 93kDa	9688
D42087_at	RAB21	RAB21, member RAS oncogene family	23011
D42108_at	PLCL1	phospholipase C-like 1	5334
D42123_at	CRIP2	cysteine-rich protein 2	1397
D42138_at	PIGB	phosphatidylinositol glycan anchor biosynthesis, class B	9488
D43636_at	SNRK	SNF related kinase	54861
D43638_at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862
D43642_at	VPS72	vacuolar protein sorting 72 homolog (S. cerevisiae)	6944
D43767_at	CCL17	chemokine (C-C motif) ligand 17	6361
D43768_at	XCL1	chemokine (C motif) ligand 1	6375
D43772_at	GRB7	growth factor receptor-bound protein 7	2886
D43947_at	KIAA0100	KIAA0100	9703
D43948_at	CKAP5	cytoskeleton associated protein 5	9793
D43949_at	FTSJD2	FtsJ methyltransferase domain containing 2	23070
D43950_at	CCT5	chaperonin containing TCP1, subunit 5 (epsilon)	22948
D43951_at	PUM1	pumilio homolog 1 (Drosophila)	9698
D44466_at	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	5707
D45248_at	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	5721
D45370_at	C10orf116	chromosome 10 open reading frame 116	10974
D45371_at	ADIPOQ	adiponectin, C1Q and collagen domain containing	9370
D45399_at	PDE6H	phosphodiesterase 6H, cGMP-specific, cone, gamma	5149
D45906_at	LIMK2	LIM domain kinase 2	3985
D49357_at	MAT1A	methionine adenosyltransferase I, alpha	4143
D49387_at	PTGR1	prostaglandin reductase 1	22949
D49394_at	HTR3A	5-hydroxytryptamine (serotonin) receptor 3A	3359
